Term,P-value,Regulation,Category,Genes,Combined_score,Overlap
cis-regulatory region sequence-specific DNA binding (GO:0000987),0.05476909,Down,GO_Molecular_Function_2021,ATF2;EHF;BACH1;SOX21;CCAR1;ZNF606;ZNF724;SOX9;SOX6;HOXA5;SOX4;SOX5;MEF2A;ZNF18;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;RUNX1;AR;RFX7;RFX4;ZSCAN21;ZNF713;ATF6;ATF3;ATF4;ZNF155;ZNF397;ZNF396;ZNF273;MYNN;GATA3;ZNF24;ZBTB2;PGBD1;DHX36;PRDM16;ZBED1;ZSCAN12;ZNF821;ZNF148;PATZ1;ZNF268;ZSCAN16;ZNF267;ZNF146;STAT5B;JUN;ZNF383;ZNF382;TIPARP;ZNF260;BCL11A;NR2F1;POU6F2;NR1D2;NR1D1;PBX1;FOSL2;SOX30;ZBTB6;ZNF816;ZNF813;SNAI2;ZNF136;ZNF256;ZNF134;ZNF254;ZNF253;ZNF251;ZNF490;BHLHE41;HEY1;ZNF41;ZNF280C;TEAD1;ZIK1;ZNF484;ZNF362;TCF12;PROX1;ZEB2;PAX9;RARB;ZNF780A;ZNF234;FOXC1;ZNF8;ARNTL2;RXRB;HSF2;ZNF229;ZNF107;ZNF227;ZNF225;HDX;ZNF222;ZNF585A;ZNF100;ARNT2;ZNF461;ZNF460;STAT2;NFYC;NR1H4;PER1;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;NEUROG2;GZF1;ZNF211;ZFP28;ZNF354B;FOXA1;ZNF570;PRDM4;ZBTB26;ZSCAN9;ZBTB20;RORB;PRDM1;NR3C1;CARF;NR3C2;ZNF81;DACH1;ZFP30;SALL3;ZNF85;ZNF569;ZNF205;ZNF689;PITX2;ZNF322;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;POU3F2;FOXP1;POU3F4;ZNF91;ZNF92;ZNF93;ZNF319;ZNF678;ZNF677;ZNF430;DLX1;DLX2;ZNF670;DLX5;DLX6;GLIS3;ZKSCAN8;ZKSCAN3;ZKSCAN2;ZNF426;ZNF304;ZNF546;ZKSCAN4;SKIL;ZBTB17;TFAP2B;SMAD1;TFAP2C;SMAD4;ZBTB14;ESRRG;FOXN3;FOXN2;ZFHX4;ESR1;SMAD5;NFKB1;BCL6;ZNF419;ZNF416;ZNF658;ZNF536;TCF4;ZNF777;ZNF655;ZNF776;SP9;ZNF773;NFE2L2;ZNF772;THRB;THRA;ZFP82;NR2E1;CHD2;ZNF408;ZNF649;SNAPC3;ZNF646;UTY;ZNF644;ZNF641;KDM6A;TGIF1;KDM6B;KLF10;KLF12;DNMT3A;ZNF75D;KLF17;ELF1;CREB1;ELF4;DMRTA1;IRF2;ZNF516;ZNF630;IRF9;CREB5;HDAC5;ZNF197;HLF;CEBPD;ZNF195;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;ZBTB41;ZBTB40;CIART;IFI16;ZNF629;ZNF506;NRIP1;ZNF746;ZNF623;HES1;E2F5;ZNF189;ZNF286A;IRX1;TCF7L2;PRRX1;ZNF184;FOXJ2;TBX19;KLF3;TBX3;KLF7;REST;KLF6;MEIS1;KLF5;TEF;ZNF616;ZNF615;KLF9;ZNF613;ZNF853;ZNF610;ZNF730;RBMX,11.97539,273/1149
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977),0.2543713,Down,GO_Molecular_Function_2021,ATF2;EHF;BACH1;SOX21;CCAR1;ZNF606;ZNF724;BBX;ZNF844;SOX9;SOX6;HOXA5;SOX4;SOX5;MEF2A;ZNF18;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;ZNF14;RUNX1;AR;RFX7;RFX4;ZSCAN21;ZNF713;ATF6;ATF3;ATF4;ZNF155;ZNF397;ZNF396;ZNF273;MYNN;TWIST1;ZNF22;GATA3;ZNF24;ZNF25;ZBTB2;PGBD1;DHX36;PRDM16;ZBED1;ZSCAN12;ZNF821;ZNF148;PATZ1;ZNF268;ZSCAN16;ZNF267;ZNF146;STAT5B;JUN;ZNF383;ZNF382;ZNF260;BCL11A;NR2F1;POU6F2;NR1D2;NR1D1;PBX1;FOSL2;SOX30;ZBTB6;ZNF816;ZNF813;CREBRF;SNAI2;RBAK;ZNF136;ZNF256;HOXD8;ZNF134;ZNF254;ZNF253;ZNF251;ZNF490;BHLHE41;ZNF44;HEY1;ZNF41;ZNF280C;TEAD1;ZIK1;ZNF484;ZNF362;TCF12;PROX1;ZEB2;NFX1;PAX9;RARB;ZNF780A;ZNF234;FOXC1;ZNF518B;ZNF518A;ZNF3;ZNF8;ARNTL2;RXRB;PURB;HSF2;ZNF229;ZNF107;ZNF227;ZNF225;HDX;ZNF222;ZNF585A;ZNF343;PURG;ZNF100;ARNT2;ZNF461;ZNF460;STAT2;NFYC;NR1H4;PER1;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;NEUROG2;GZF1;ZNF211;ZFP28;ZNF354B;FOXA1;ZNF570;PRDM4;ZBTB26;ZSCAN9;ZBTB20;RORB;PRDM1;NR3C1;CARF;NR3C2;ZNF81;DACH1;ZFP30;SALL3;ZNF85;ZNF569;ZNF205;ZNF689;PITX2;ZNF322;ZNF442;ZNF441;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;POU3F2;FOXP1;POU3F4;ZNF91;ZNF92;ZNF93;ZNF319;ZNF439;ZNF436;ZNF678;ZNF677;ZNF433;ZNF674;ZNF430;DLX1;DLX2;ZNF670;DLX5;DLX6;GLIS3;NPAS3;ZKSCAN8;ZKSCAN3;ZNF669;ZKSCAN2;ZNF426;ZNF425;ZNF304;ZNF546;ZKSCAN4;SKIL;ZBTB17;TFAP2B;SMAD1;TFAP2C;SMAD4;ZBTB14;ZBTB10;ESRRG;ZFHX4;ESR1;SMAD5;NFKB1;BCL6;ZNF419;ZNF416;ZNF658;ZNF536;TCF4;ZNF777;ZNF655;ZNF776;SP9;ZNF773;ZSCAN2;NFE2L2;ZNF772;THRB;THRA;ZFP82;NR2E1;CHD2;ZNF408;ZNF649;SNAPC3;TRPS1;ZNF646;UTY;ZNF644;ZNF641;KDM6A;TGIF1;KDM6B;KLF10;KLF12;DNMT3A;VEZF1;ZNF75D;ETV6;KLF17;ELF1;CREB1;RBL1;ELF4;TFDP3;DMRTA1;IRF2;ZNF516;ZNF510;ZNF630;IRF9;CREB5;GTF2A1;HDAC5;ZNF197;HLF;CEBPD;ZNF195;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;ZBTB41;ZBTB40;CIART;IFI16;ZNF629;ZNF627;ZNF506;NRIP1;ZNF625;ZNF746;ZNF623;HES1;E2F5;ZNF620;ZNF189;ZNF286A;IRX1;TCF7L2;PRRX1;ZNF184;FOXJ2;CDC5L;TBX19;KLF3;TBX3;KLF7;REST;KLF6;MEIS1;KLF5;TEF;ZNF616;ZNF615;KLF9;ZNF614;ZNF613;ZNF853;ZNF610;ZNF730;RBMX,8.927172,310/1359
protein serine/threonine kinase activity (GO:0004674),0.3080224,Down,GO_Molecular_Function_2021,DYRK4;TRIO;BMPR2;DYRK2;TP53RK;MAST4;MAST2;RPS6KA5;SLK;RPS6KA2;AKT3;CHEK1;PIM1;TLK2;TLK1;CPNE3;STK32A;MAP3K4;MAP3K5;ACVR1;BRD2;CSNK1G3;PRKAB2;CDKL5;CHUK;RIPK2;DAPK3;PRKCA;OXSR1;MASTL;NRBP1;LATS1;PDIK1L;SIK3;ULK2;PRKD1;SIK2;TNIK;ALPK1;SGK1;BRSK1;NIM1K;CAMK2D;PRKAA1;ROCK1;NLK;TTBK2;STK3;MAPK9;MAPK8;STK38L;MAPK1;MAP4K5;PAK3;MAPK6;PAK2;CAMK2G;MAP4K3;MAPK4;MAP4K4;MARK1;PLK4;SRPK2;CDK19;MAP3K1;CSNK1A1;PLK2;NEK7;EIF2AK2;BRAF;EIF2AK4;HIPK1;CDC42BPA;ACVR2B;ACVR2A;HIPK2;CLK1;MAPK10;CDK6;TAOK3;RPS6KB1;STK17A;CDK4;TAOK1;RPS6KB2;NEK10;PKN2;BMPR1B;CDK14;BMPR1A,9.835192,90/344
NAD+ ADP-ribosyltransferase activity (GO:0003950),0.3080224,Down,GO_Molecular_Function_2021,PARP6;PARP4;TNKS2;TNKS;PARP2;TIPARP;ZC3HAV1;PARP14;PARP9;PARP15;SIRT1;PARP8,22.507,12/26
transmembrane receptor protein kinase activity (GO:0019199),0.05270937,Up,GO_Molecular_Function_2021,ACVRL1;EPHB6;RET;CSF1R;LTK;FLT1;EPHA10;FLT4;MST1R;ERBB3;EPHB2;EPHB1;EPHB4;PDGFRB;NTRK1;NTRK3;TIE1;INSRR;AXL;TYRO3;ROR2;EPHA1;FGFR4;FGFR2;EPHA2;FGFR1,24.83679,26/60
NMDA glutamate receptor activity (GO:0004972),0.05270937,Up,GO_Molecular_Function_2021,GRIN2A;GRIN3B;PTK2B;GRIN2C;GRIN2B;GRIN1;GRIN2D,224.9526,7/8
voltage-gated cation channel activity (GO:0022843),0.05270937,Up,GO_Molecular_Function_2021,RYR1;CATSPER1;HCN4;KCNG2;KCNC3;KCNC4;CACNA1B;CACNA1A;KCNA7;CACNA1I;CACNG7;GRIN2A;KCNV2;CACNG8;PTK2B;CACNA1S;KCNH2;KCNH3;KCNF1;KCNH4;KCND1;KCNH6;KCNJ11;KCND3;KCNB1;CACNA2D2;CACNA2D4;GRIN2C;GRIN2B;GRIN2D;GRIN1;CACNB1;GRIN3B;CACNB4;KCNQ2;KCNQ4;HCN2,19.69623,37/97
transmembrane receptor protein tyrosine kinase activity (GO:0004714),0.05575805,Up,GO_Molecular_Function_2021,EPHB6;RET;CSF1R;LTK;FLT1;EPHA10;FLT4;MST1R;ERBB3;EPHB2;EPHB1;EPHB4;PDGFRB;NTRK1;NTRK3;TIE1;INSRR;AXL;TYRO3;ROR2;EPHA1;FGFR4;FGFR2;EPHA2;FGFR1,20.52177,25/60
ligand-gated cation channel activity (GO:0099094),0.05575805,Up,GO_Molecular_Function_2021,KCNK6;CHRNA4;GRIK5;GRIK4;TRPM2;ASIC4;GRIN2A;KCNN1;PTK2B;KCNN3;TRPM5;ASIC3;ASIC1;KCNH2;KCNJ4;KCNJ11;KCNJ12;KCNJ14;HTR3A;KCNJ18;GRIN2C;GRIN2B;GRIN1;GRIN2D;P2RX7;P2RX6;GRIN3B;SCNN1D;P2RX3;P2RX1;SCNN1A,18.18062,31/80
ErbB signaling pathway,0.002896049,Down,KEGG_2021_Human,SHC4;CAMK2D;CDKN1B;CBLB;PIK3R1;MAPK9;MAPK8;ERBB4;AKT3;NCK2;ABL1;ABL2;MAPK1;PLCG1;PAK3;CAMK2G;PAK2;MAP2K4;STAT5B;JUN;EGF;GAB1;NRG1;PRKCA;BRAF;NRG2;MAPK10;PIK3CA;RPS6KB1;RPS6KB2;GRB2;KRAS;SOS1;SOS2,32.14899,34/85
Neurotrophin signaling pathway,0.09413737,Down,KEGG_2021_Human,SHC4;BEX3;CAMK2D;PRDM4;IRS1;PIK3R1;RAP1B;MAPK9;MAPK8;RPS6KA5;RPS6KA2;AKT3;ABL1;MAPK1;PLCG1;CAMK2G;MAP2K5;MAP3K5;NTRK2;JUN;MAP3K1;RIPK2;KIDINS220;SORT1;GAB1;FRS2;BRAF;NFKB1;MAPK10;PIK3CA;TRAF6;RAPGEF1;GRB2;KRAS;CALM1;SOS1;SOS2;ATF4,13.94211,38/119
Salmonella infection,0.09413737,Down,KEGG_2021_Human,NCKAP1;CXCL8;PIK3C2G;WASL;ACTB;PIK3CG;ACTG1;TUBA1C;TUBA1B;TUBA1A;KIF5B;AKT3;CASP4;KPNA4;KPNA3;KPNA1;ACTR3;MAP2K4;ANXA2;CHUK;EXOC7;RIPK2;TUBB;IL18;TIRAP;DYNC1LI1;DYNC1LI2;TUBB2B;TUBB2A;PIK3CA;TRAF6;RHOJ;ELMO1;ELMO2;EXOC5;TLR6;TLR4;ARL8A;PFN2;DYNC1I2;ARHGEF26;DCTN2;LY96;NOD1;DYNC2LI1;CYTH3;MAPK9;MAPK8;KLC2;MYO6;FLNA;MAPK1;SNX9;PAK3;DYNC1I1;MAP2K6;TCF7L2;JUN;NFKB1;MAPK10;SNX18;ABI1;RAB9A;PLEKHM2;TAB3;TAB2;ACBD3;RAB5A;MYD88,11.17865,69/249
TGF-beta signaling pathway,0.09910547,Down,KEGG_2021_Human,BMPR2;ROCK1;LTBP1;THBS1;PPP2CB;MAPK1;PITX2;E2F5;LEFTY2;ACVR1;TGIF1;SMAD1;SMAD4;SMURF1;RGMB;ACVR2B;SMAD5;ACVR2A;RGMA;BMP5;RBL1;ZFYVE16;RPS6KB1;BAMBI;ID2;ID1;RPS6KB2;ID4;ID3;BMPR1B;BMPR1A,13.61778,31/94
Herpes simplex virus 1 infection,0.3320587,Down,KEGG_2021_Human,ZNF570;PPP1CB;ZNF81;ZFP30;ZNF606;AKT3;ZNF85;ZNF569;ZNF205;ZNF689;ZNF442;ZNF320;ZNF441;ZNF561;ZNF285;HCFC2;TICAM1;ZNF14;ZNF91;ZNF93;ZNF439;ZNF713;SRSF4;ZNF436;ZNF677;ZNF433;SRSF8;ZNF674;ZNF155;ZNF430;ZNF670;ZNF273;PIK3R1;ZNF25;ZNF669;ZNF426;ZNF304;ZNF425;ZNF546;ZNF268;ZNF267;EIF2B5;ZNF383;ZNF382;EIF2AK2;EIF2AK4;NFKB1;ZNF816;ZNF419;ZNF813;ZNF416;ZNF658;ZNF777;TAB2;RBAK;ZNF136;ZNF256;MYD88;ZNF773;ZNF772;ZNF254;ZNF253;ZNF251;ZNF490;ITGB3;ZNF44;ZFP82;ZNF649;ZNF41;ZNF766;ZNF641;ZIK1;ZNF484;CHUK;PIK3CA;TRAF6;ZNF780A;ZNF510;ZNF234;ZNF630;TLR3;IRF9;RNASEL;ZNF195;ZNF3;ZNF8;ZNF506;ZNF627;ZNF229;ZNF746;ZNF107;CCL2;ZNF227;ZNF623;ZNF225;ZNF620;ZNF222;ZNF343;ZNF585A;ZNF189;ZNF286A;ZNF100;ZNF461;ZNF460;ZNF184;IFNB1;STAT2;ZNF616;ZNF74;ZNF615;ZNF614;ZNF613;ZNF699;ZNF853;ZNF610;ZNF730;ZNF333;ZNF211;ZFP28;ZNF354B,6.917471,120/498
Calcium signaling pathway,0.01965817,Up,KEGG_2021_Human,RET;RYR1;RYR2;MYLK2;OXTR;FLT1;CALML6;FLT4;ATP2A3;ATP2A1;FGF1;ADRA1B;MYLK3;SLC8A1;SLC8A2;HTR6;BDKRB2;BDKRB1;NOS1;PDGFRB;CAMK1D;AVPR1B;SPHK2;TACR2;NGF;PLCB3;ADCY9;PLCB4;LTB4R2;ITPKA;ORAI1;CASQ1;PLCB2;CAMK1G;CAMK2B;PTAFR;CAMK2A;PDGFB;CACNA1B;PDGFA;CACNA1A;ITPR3;MST1R;ADRB2;ADCY7;CACNA1H;CACNA1G;CACNA1I;GRIN2A;GNA15;ERBB3;HRH2;PTK2B;CACNA1S;NTSR1;NTRK1;NOS2;NOS3;NTRK3;ATP2B3;ATP2B2;GRIN2C;GRIN2D;GRIN1;VEGFA;TPCN1;P2RX7;P2RX6;P2RX3;CAMK4;FGF19;P2RX1;FGF18;FGFR4;PLCD4;FGFR2;FGFR1,15.86144,77/240
Protein digestion and absorption,0.01965817,Up,KEGG_2021_Human,KCNK5;COL18A1;COL15A1;COL16A1;COL13A1;KCNE3;ELN;SLC1A1;ATP1A3;ATP1A2;SLC8A1;SLC8A2;DPP4;KCNN4;SLC36A1;CPA2;CPA1;COL26A1;COL27A1;COL25A1;COL23A1;ATP1B2;COL3A1;SLC7A7;COL4A2;COL5A1;SLC7A8;XPNPEP2;COL4A4;COL5A3;FXYD2;COL6A2;COL7A1;COL6A1;COL8A2;COL20A1;COL6A3;COL9A3;COL9A2,19.93662,39/103
ECM-receptor interaction,0.02210099,Up,KEGG_2021_Human,ITGB1;LAMA5;TNXB;ITGB5;SDC4;LAMC3;LAMA1;ITGA2B;LAMA3;LAMC2;THBS3;COMP;TNN;ITGB7;LAMB3;GP1BB;ITGA3;GP6;HSPG2;GP5;FRAS1;COL4A2;COL4A4;COL6A2;COL6A1;ITGA11;COL6A3;ITGA7;SDC1;COL9A3;CD47;ITGA5;COL9A2;AGRN,19.39062,34/88
cAMP signaling pathway,0.06079488,Up,KEGG_2021_Human,GLP1R;RYR2;OXTR;VIPR2;CALML6;ATP2A3;ATP2A1;GLI1;LIPE;HTR6;CREB3L3;CREB3L1;RAC2;ADORA1;CNGA2;FFAR2;AMH;EDN2;PDE4C;RRAS2;FOS;ATP1B2;SSTR2;VAV1;VAV2;GIP;SSTR5;TIAM1;ADCY9;ORAI1;RAPGEF3;CNGB1;CAMK2B;HCN4;ADCYAP1R1;GIPR;NPR1;PTGER2;LHB;CAMK2A;PIK3R3;ATP1A3;ATP1A2;ADRB2;ADCY7;ADCY5;SLC9A1;GRIN2A;RRAS;TNNI3;CACNA1S;PTCH1;HTR1D;ATP2B3;NFATC1;GCG;ATP2B2;GRIN2C;GRIN2B;GRIN2D;GRIN1;AFDN;GRIN3B;FXYD2;CAMK4;PPP1R1B;HCN2,11.73992,67/216
Aldosterone synthesis and secretion,0.1235118,Up,KEGG_2021_Human,CAMK2B;SCARB1;DAGLA;CALML6;NPR1;CAMK2A;ATP1A3;ITPR3;ATP1A2;ADCY7;CACNA1H;CACNA1G;ADCY5;LIPE;CACNA1I;CREB3L3;CYP11A1;CREB3L1;CACNA1S;CAMK1D;PDE2A;ATP2B3;ATP2B2;ATP1B2;PLCB3;ADCY9;PLCB4;STAR;CYP21A2;CAMK4;ORAI1;PLCB2;CAMK1G;KCNK3,12.0374,34/98
RHO GTPase Cycle R-HSA-9012999,0.0620026,Down,Reactome_2022,ITSN2;NCKAP1;TRIO;FAM13B;WIPF1;ITSN1;FAM13A;ARHGAP39;MSI2;ARHGAP35;ACTG1;SYDE2;GJA1;ARHGAP42;SLK;OPHN1;EPSTI1;TPM4;RALGAPA1;SWAP70;FRS2;TEX2;TIAM2;DAAM1;ELMO2;PHIP;STAM2;DDX4;ARHGEF26;SHMT2;ARHGEF28;TWF1;ARHGAP18;RASAL2;PIK3R1;ARHGAP15;RHOBTB1;ARHGAP12;ARHGAP21;MYO6;ABL2;ECT2;SRGAP1;STARD13;ACBD5;JAG1;ARHGAP29;ARHGAP26;ARHGAP24;VANGL1;CCDC88A;ARHGAP32;ARHGAP31;DNMBP;COPS2;GRB2;FERMT2;CDC42SE2;PICALM;ZNF512B;DOCK5;DOCK4;SOWAHC;DOCK7;WASL;ARHGAP5;OSBPL11;RND3;SH3RF1;LRRC1;RND1;AKAP12;AKAP13;TUBA1B;DBT;NCK2;ARHGEF11;PLEKHG1;ARHGEF12;DST;CCDC115;NIPSNAP2;ARHGAP10;PIK3CA;GFOD1;CDC42EP3;RHOJ;RAPGEF1;CDC42EP1;ARHGEF4;SOS1;SOS2;DBN1;RHOQ;ROCK1;AMIGO2;ADD3;FAM169A;PGRMC2;ARL13B;NHS;CKB;WHAMM;REPS1;NDUFA5;KIDINS220;USP9X;MCF2;ERBIN;CDC42BPA;KTN1;SLC4A7;FMNL2;TAOK3;ABI1;FILIP1;GOPC;PKN2;VIM;RBMX,15.93064,120/441
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,0.09379495,Down,Reactome_2022,APP;PELI2;LY96;NOD1;TANK;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;TICAM1;S100B;NFKB1;DUSP6;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;ALPK1;TLR4;MYD88,17.77996,35/102
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",0.09379495,Down,Reactome_2022,ITSN2;NCKAP1;TRIO;FAM13B;WIPF1;ZWILCH;ITSN1;FAM13A;ARHGAP39;MSI2;ARHGAP35;ACTG1;PPP1CB;SYDE2;GJA1;ARHGAP42;HTR7;SLK;OPHN1;KIF5B;EPSTI1;TPM4;RALGAPA1;SWAP70;FRS2;PRKCA;KNL1;TEX2;TIAM2;DYNC1LI1;DYNC1LI2;CLIP1;DAAM1;ZW10;ELMO2;PHIP;STAM2;ROPN1;PFN2;DDX4;ARHGEF26;SHMT2;ARHGEF28;TWF1;ARHGAP18;RASAL2;PIK3R1;ARHGAP15;RHOBTB1;SKA2;ARHGAP12;ARHGAP21;RHOT1;MYO6;ABL1;ABL2;ECT2;SRGAP1;STARD13;ACBD5;JAG1;RCC2;ARHGAP29;ARHGAP26;ARHGAP24;VANGL1;CCDC88A;ARHGAP32;ARHGAP31;DNMBP;COPS2;GRB2;NF2;CALM1;FERMT2;CDC42SE2;PICALM;ZNF512B;DOCK5;DOCK4;CDKN1B;SOWAHC;DOCK7;WASL;ARHGAP5;OSBPL11;RND3;SH3RF1;LRRC1;RND1;AKAP12;AKAP13;TUBA1B;YWHAQ;PPP2R5E;DBT;NCK2;ACTR3;ARHGEF11;NCOA2;PLEKHG1;PPP1R12A;ARHGEF12;DST;CCDC115;PPP2R5C;LRRC41;NIPSNAP2;ARHGAP10;PIK3CA;GFOD1;CDC42EP3;RHOJ;RAPGEF1;CDC42EP1;ARHGEF4;SOS1;SOS2;DBN1;RHOQ;ITGB3BP;DYNC1I2;ROCK1;SRF;AMIGO2;TRAK1;ADD3;FAM169A;TRAK2;PPP2CB;FZR1;PGRMC2;ARL13B;NHS;CTNNA1;FLNA;MAPK1;CKB;WHAMM;DYNC1I1;REPS1;RANBP2;NDUFA5;KIDINS220;USP9X;MCF2;ERBIN;CDC42BPA;KTN1;SLC4A7;FMNL2;TAOK3;KANSL1;TAOK1;ABI1;CENPK;RAB9A;FILIP1;GOPC;PKN2;VIM;CENPP;RBMX;NUP37,11.23365,164/660
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,0.09379495,Down,Reactome_2022,APP;PELI2;LY96;NOD1;TANK;EEA1;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;TICAM1;S100B;NFKB1;DUSP6;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;ALPK1;TLR4;MYD88,17.42776,36/106
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,0.09379495,Down,Reactome_2022,APP;PELI2;LY96;NOD1;TANK;MAPK9;PPP2CB;MAPK8;RPS6KA5;RPS6KA2;UBC;MAPK1;N4BP1;MAP2K6;MEF2A;MAP2K4;MEF2C;JUN;MAP3K1;CHUK;RIPK2;TICAM1;S100B;NFKB1;DUSP6;MAPK10;CREB1;TRAF6;UBE2N;PELI1;TAB3;TAB2;ALPK1;TLR4;MYD88,18.52795,35/101
Extracellular Matrix Organization R-HSA-1474244,1.795587e-09,Up,Reactome_2022,COL16A1;ITGA2B;ICAM2;LOXL4;ICAM5;LOXL1;ICAM1;LOXL2;COMP;CAPN8;EFEMP2;CAPNS2;TNN;COL27A1;COL23A1;P3H2;P3H1;PCOLCE;P3H3;HSPG2;ADAM15;COL4A2;LOX;COL4A4;ADAM12;COL8A2;ADAM8;FBN3;COL13A1;SDC4;PDGFB;HTRA1;LTBP4;PDGFA;FBLN1;SMIM6;FBLN2;NID2;KLK7;FBLN5;ADAMTS14;SCUBE1;SERPINH1;ELANE;BMP7;BMP4;COL5A1;P4HA1;P4HA2;COL5A3;ITGA11;COL20A1;SDC1;COL9A3;COL9A2;ITGB1;COL18A1;ITGAM;ITGB5;LAMC3;ITGB2;LAMC2;CTSV;ITGAL;ADAMTS2;MMP24;SH3PXD2A;CTSK;MMP28;ITGAX;ITGB7;MADCAM1;TIMP1;TPSAB1;CTSD;ADAMTS9;CTSB;COL25A1;ITGA3;MMP1;MMP2;MMP3;BGN;MMP9;MMP11;MMP14;MMP13;ITGAD;MMP15;COL6A2;COL6A1;MATN1;PECAM1;MMP19;COL6A3;ITGA7;CD47;ITGA5;MATN3;PLEC;LAMA5;COL15A1;TNXB;PCOLCE2;TMPRSS6;LAMA1;ACAN;TNNI3;COL26A1;LAMB3;CAPN13;COL3A1;CAPN11;CAPN12;COL7A1;AGRN,67.20291,116/291
Collagen Formation R-HSA-1474290,7.754364e-06,Up,Reactome_2022,COL18A1;COL15A1;COL16A1;COL13A1;PCOLCE2;LOXL4;LAMC2;CTSV;LOXL1;LOXL2;ADAMTS2;ADAMTS14;MMP28;SERPINH1;CTSB;COL26A1;COL27A1;LAMB3;COL25A1;COL23A1;MMP3;P3H2;P3H1;PCOLCE;P3H3;MMP9;COL3A1;MMP13;COL4A2;LOX;COL5A1;P4HA1;P4HA2;COL4A4;COL6A2;COL5A3;COL7A1;COL6A1;COL8A2;COL20A1;COL6A3;COL9A3;COL9A2;PLEC,64.48688,44/90
Collagen Degradation R-HSA-1442490,8.820572e-05,Up,Reactome_2022,COL18A1;COL15A1;COL26A1;COL16A1;COL13A1;TMPRSS6;COL25A1;MMP1;MMP2;COL23A1;MMP3;MMP9;MMP11;MMP14;MMP13;MMP15;CTSK;MMP28;MMP19;COL9A3;COL9A2;CTSD;ELANE;CTSB,85.35743,24/40
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,0.0004415345,Up,Reactome_2022,COL18A1;COL15A1;LOXL4;LAMC2;CTSV;LOXL1;LOXL2;MMP28;CTSB;COL27A1;LAMB3;MMP3;PCOLCE;MMP9;COL3A1;MMP13;COL4A2;LOX;COL5A1;COL4A4;COL6A2;COL5A3;COL7A1;COL6A1;COL8A2;COL6A3;COL9A3;COL9A2;PLEC,51.79981,29/57
Integrin Cell Surface Interactions R-HSA-216083,0.00135579,Up,Reactome_2022,ITGB1;COL18A1;COL16A1;ITGAM;ITGB5;COL13A1;ITGA2B;ITGB2;ICAM2;ICAM5;ITGAL;ICAM1;COMP;ITGAX;ITGB7;MADCAM1;TNNI3;ITGA3;COL23A1;HSPG2;COL4A2;ITGAD;COL4A4;ITGA11;PECAM1;ITGA7;COL9A3;CD47;ITGA5;COL9A2;AGRN,39.95948,31/66
