"seqnames","start","end","width","strand","Conc","Conc_YAF","Conc_GFP","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr15",76274257,76275388,1132,"*",4.72190782614298,5.42969773997602,3.27457951456305,1.4436539563967,0.000198711210279751,0.0011580210977984,"5' UTR",15,76274133,76283841,9709,2,"2108","ENST00000558803.1",8453
"chr8",103182257,103188538,6282,"*",8.41672093835134,8.77590205287416,7.93737425855507,0.734379567432863,0.000198730985213792,0.0011580210977984,"Exon (ENST00000306391.10/79870, exon 2 of 2)",8,103153394,103172161,18768,2,"100499183","ENST00000521102.3",-10096
"chr4",2328925,2346076,17152,"*",10.0007379502114,9.47765372470096,10.3838117354393,-0.782149568999517,0.00020006117761784,0.0011649150482027,"Promoter (<=1kb)",4,2342581,2343524,944,2,"105374352","ENST00000505421.1",0
"chr9",137060946,137093757,32812,"*",10.7573191808152,10.2409308853976,11.1368072326857,-0.774775182591872,0.000201956808368956,0.00117508887984847,"Promoter (<=1kb)",9,137084946,137086817,1872,2,"100289341","ENST00000596585.3",0
"chr1",1887726,1934347,46622,"*",11.1314683932522,10.6222898912004,11.5070668167018,-0.76659037461343,0.000202398352647126,0.0011767933587464,"Promoter (<=1kb)",1,1891223,1892726,1504,1,"105378949","ENST00000689170.1",0
"chr19",6571769,6594425,22657,"*",9.51972888057389,9.85498339497115,9.08220342553984,0.682924871472678,0.000207722016098705,0.00120686034151551,"Promoter (<=1kb)",19,6583183,6591139,7957,2,"970","ENST00000423145.7",0
"chrX",153678544,153711937,33394,"*",9.81211567717591,9.3355162949843,10.1697581807173,-0.727745844503984,0.000208721949879122,0.00121178088056654,"Promoter (<=1kb)",23,153700503,153705456,4954,2,"10134","ENST00000646514.1",0
"chr2",29876090,29882231,6142,"*",7.58613441188232,7.95349066379369,7.09205225632294,0.75032131838934,0.000209897640723504,0.0012163339297472,"Intron (ENST00000389048.8/238, intron 1 of 28)",2,29890371,29892354,1984,1,"124907748","ENST00000421411.1",-8140
"chr1",152179309,152194297,14989,"*",9.10132460434221,9.4423534098655,8.65387963943843,0.695555960187622,0.00020995016119507,0.0012163339297472,"Promoter (<=1kb)",1,152189303,152365649,176347,1,"339400","ENST00000655109.1",0
"chr11",134507712,134523268,15557,"*",8.6239412900085,8.09223530366433,9.01159468727881,-0.789688158763182,0.000209966975876301,0.0012163339297472,"Distal Intergenic",11,134479299,134505661,26363,1,"283177","ENST00000532886.2",28413
"chr16",89996743,90003446,6704,"*",7.21991433678974,6.63922289684236,7.63281155466807,-0.842667743604655,0.00021117979093411,0.00122171794507416,"Promoter (<=1kb)",16,89998606,90002161,3556,1,"172","ENST00000454997.1",0
"chr4",55877917,55879768,1852,"*",5.63354257014984,6.21433279913344,4.64598747302561,1.19360055293714,0.000211204933300482,0.00122171794507416,"Promoter (2-3kb)",4,55882727,55905007,22281,1,"55763","ENST00000511971.5",-2959
"chr7",111498457,111500277,1821,"*",5.37238946224841,5.9560247839914,4.37636368939597,1.20619160715632,0.000211800247208097,0.00122426726835104,"Intron (ENST00000405709.7/83943, intron 2 of 5)",7,111487234,111521447,34214,2,"83943","ENST00000437687.2",21170
"chr2",133812247,133816518,4272,"*",7.29049806352598,7.69696655962885,6.72252237540333,0.835085983531688,0.000212266353832006,0.00122606656163068,"Distal Intergenic",2,132673049,133568463,895415,2,"344148","ENST00000409213.5",-243784
"chr5",96892455,96894119,1665,"*",5.85754765259647,6.37385033441915,5.04585986537519,1.07467958727613,0.000213374836372737,0.00123157093967617,"Promoter (<=1kb)",5,96892418,96902816,10399,1,"64167","ENST00000515095.5",37
"chr17",51045161,51047435,2275,"*",5.94025672458377,6.45133121297246,5.14161157226715,1.0582886098157,0.000213965597856339,0.00123358370938691,"Promoter (<=1kb)",17,50965075,51046878,81804,2,"9043","ENST00000510283.5",0
"chr2",240610660,240640068,29409,"*",10.0199859393627,9.54773247954353,10.3751851691966,-0.722467511090218,0.000214035107551157,0.00123358370938691,"Promoter (<=1kb)",2,240618943,240631258,12316,1,"2859","ENST00000430267.2",0
"chr7",105757702,105772351,14650,"*",9.0393550039173,9.38439681263555,8.58495219388883,0.703244901942063,0.00021622461661122,0.001245296537414,"3' UTR",7,105613733,105691637,77905,2,"222255","ENST00000472195.1",-66065
"chr8",142389032,142413492,24461,"*",10.4663005335262,9.92345765693657,10.8598079290062,-0.803234983059936,0.000216723375095093,0.0012472619239666,"Promoter (<=1kb)",8,142212080,142403182,191103,2,"203062","ENST00000524325.6",0
"chr2",20443381,20460296,16916,"*",8.97246958353045,9.3290327065621,8.49779264915909,0.728091691029636,0.000217102321491188,0.00124853542766065,"Promoter (<=1kb)",2,20447074,20449440,2367,1,"388","ENST00000272233.6",0
"chr14",63893439,63895188,1750,"*",5.61174592909156,6.18045422362968,4.65943783651897,1.16985537962371,0.000217800101248223,0.00125163933366087,"Intron (ENST00000674003.1/23224, intron 2 of 23)",14,63908823,64087924,179102,1,"23224","ENST00000674144.1",-13635
"chr8",144368572,144380198,11627,"*",9.30702851576326,8.84464740568911,9.65663453944726,-0.710054702426043,0.000218390268725938,0.00125412076725214,"Promoter (<=1kb)",8,144373101,144391064,17964,1,"203054","ENST00000534714.5",0
"chr6",167381664,167383893,2230,"*",6.41062251247248,5.74178033607934,6.86583920015603,-0.9349480520951,0.000218793013612654,0.00125535226604333,"Promoter (<=1kb)",6,167358107,167382954,24848,2,"6953","ENST00000675664.1",0
"chr19",45567158,45570790,3633,"*",7.12083088765096,7.5304763701094,6.54659233721898,0.844609263125358,0.000218921767824958,0.00125535226604333,"Intron (ENST00000323060.4/80207, intron 1 of 1)",19,45527767,45584802,57036,2,"80207","ENST00000323060.4",14012
"chr14",104366594,104380966,14373,"*",8.51535595057854,7.99017117591626,8.89954934756566,-0.78122077840911,0.000221405670457989,0.0012686769206634,"Promoter (<=1kb)",14,104376530,104378951,2422,2,"124903394","ENST00000557687.1",0
"chr17",4579178,4628249,49072,"*",11.6545004853142,11.1628441560097,12.0205198115058,-0.745083090629847,0.000222836609087209,0.00127595307835257,"Promoter (<=1kb)",17,4583999,4608319,24321,1,"342527","ENST00000338859.8",0
"chrX",110322293,110323737,1445,"*",5.09396980516845,5.71537237843709,3.97877856249037,1.28729280216753,0.000223528037687166,0.00127898737748892,"Intron (ENST00000372057.1/9949, intron 2 of 7)",23,110194186,110318085,123900,2,"9949","ENST00000686065.1",-4208
"chr8",144231317,144280959,49643,"*",11.6439538479622,11.0992114820512,12.0384528336059,-0.80518311033756,0.000223886090602557,0.00128011115630444,"Promoter (<=1kb)",8,144262673,144262737,65,2,"102465906","ENST00000616126.1",0
"chr2",112275063,112276831,1769,"*",5.21665960669174,5.83471465827559,4.11256815286116,1.26606125596141,0.00022585394625362,0.00129043102480694,"Promoter (<=1kb)",2,112275597,112340059,64463,1,"376940","ENST00000409871.6",0
"chr9",75447327,75457367,10041,"*",8.32642189772673,8.68854107714623,7.84180633553474,0.739482669020173,0.000228059455343523,0.00130120967575394,"Distal Intergenic",9,75088514,75147265,58752,1,"26578","ENST00000346234.7",358813
"chr5",655512,679684,24173,"*",9.88855904417465,9.4205527278736,10.2413593897708,-0.716582892369615,0.000228169512602357,0.00130120967575394,"Promoter (<=1kb)",5,655455,667168,11714,1,"55722","ENST00000514507.1",57
"chr16",87673542,87712648,39107,"*",9.9884288137144,9.49191275186283,10.3571229462952,-0.749694673530892,0.000228233393057485,0.00130120967575394,"Promoter (<=1kb)",16,87693537,87696147,2611,2,"100129215","ENST00000538868.2",0
"chr9",121971685,121974331,2647,"*",6.19204589412268,6.66718929508886,5.47879368870881,0.98183598998533,0.000230723751047942,0.00131340494304523,"3' UTR",9,121821971,121963730,141760,2,"158135","ENST00000687938.1",-7955
"chr1",169482840,169488352,5513,"*",7.3515275303347,7.73947526855453,6.81926469998094,0.794023778220587,0.000230764749811451,0.00131340494304523,"Promoter (<=1kb)",1,169463909,169485944,22036,2,"10560","ENST00000236137.10",0
"chr9",136919103,136966809,47707,"*",10.7487006116679,10.2404289964696,11.1238076531921,-0.763406025460401,0.000230956611695919,0.00131340494304523,"Promoter (<=1kb)",9,136949551,136953074,3524,1,"286256","ENST00000484304.1",0
"chr22",20599817,20639844,40028,"*",10.5016140892398,10.0255039168288,10.8589821332955,-0.726150029063227,0.000231175877924861,0.00131340494304523,"Exon (ENST00000614590.1/ENST00000614590.1, exon 1 of 1)",22,20587496,20592218,4723,2,"124905084","ENST00000508880.1",-7599
"chr7",105846757,105854837,8081,"*",7.93469200332716,8.29035143901302,7.46162152394773,0.722829292096462,0.000231201728830035,0.00131340494304523,"Intron (ENST00000419735.8/222255, intron 2 of 11)",7,105760554,105876477,115924,2,"222255","ENST00000478915.1",21640
"chr7",158524555,158551469,26915,"*",10.286061053274,9.76436551685608,10.6683932808367,-0.77835677866703,0.000231465991757207,0.00131396357614719,"Promoter (<=1kb)",7,158532718,158532813,96,2,"693180","ENST00000384905.1",0
"chr2",232361192,232392509,31318,"*",9.62452348956812,9.16306228813025,9.97360527394173,-0.708368783199162,0.000232514304559897,0.0013186224316079,"Promoter (<=1kb)",2,232378724,232379784,1061,1,"250","ENST00000474529.1",0
"chr13",113069804,113107269,37466,"*",10.2995968675462,9.80563173248079,10.666888706916,-0.746683297022113,0.000232619716751639,0.0013186224316079,"Promoter (<=1kb)",13,113105788,113120678,14891,1,"2155","ENST00000541084.5",0
"chr5",85096059,85097751,1693,"*",5.75068283197186,6.29788528056195,4.85837226402065,1.12011858599045,0.000234110406998689,0.0013261232568116,"Distal Intergenic",5,84399620,84419054,19435,1,"105379057","ENST00000666514.1",696439
"chr7",158274549,158286833,12285,"*",8.38555362811104,7.90038676457613,8.74797926301025,-0.734455160804644,0.00023571415385785,0.00133425331265212,"Intron (ENST00000389413.7/5799, intron 3 of 21)",7,158532718,158532813,96,2,"693180","ENST00000384905.1",245980
"chr4",72317338,72321171,3834,"*",6.63167417290894,7.07031521192391,5.99831350121699,0.894741372988374,0.000236597321197735,0.00133829584754633,"Exon (ENST00000286657.10/9508, exon 7 of 22)",4,72298225,72312255,14031,2,"9508","ENST00000511274.1",-5083
"chr1",115688612,115734970,46359,"*",10.5183217695187,10.8495227360523,10.0876957949644,0.672252387037229,0.000238691554348537,0.00134917802918348,"3' UTR",1,115671144,115684076,12933,1,"81839","ENST00000474344.1",17468
"chr15",79634169,79644562,10394,"*",8.2282371640854,8.59814885991649,7.72950053865641,0.755764010758784,0.00023966889804094,0.0013533118406609,"Distal Intergenic",15,79456096,79471144,15049,1,"23251","ENST00000559272.1",178073
"chr14",61465834,61483938,18105,"*",9.12327433562163,9.45403313529683,8.69339780576297,0.672098912043872,0.000239764681455643,0.0013533118406609,"Promoter (<=1kb)",14,61477167,61549946,72780,1,"5583","ENST00000536400.5",0
"chr4",21202220,21204374,2155,"*",6.35926018648901,6.82220488898431,5.67342925186963,0.957051041132084,0.000240924724802335,0.00135889095136018,"Intron (ENST00000382152.7/80333, intron 1 of 8)",4,20729210,21303989,574780,2,"80333","ENST00000382150.8",99615
"chr14",102503551,102520484,16934,"*",9.02625650821697,8.51977133978329,9.40039419795624,-0.75944338096288,0.000241978893174188,0.00136386537725722,"Promoter (<=1kb)",14,102501767,102509776,8010,2,"122416","ENST00000286918.9",0
"chr17",3687959,3701302,13344,"*",9.62544914155467,9.14683255447104,9.98422181692665,-0.72777924514031,0.000243187131954788,0.00136875038128904,"Promoter (<=1kb)",17,3663063,3696194,33132,2,"100533970","ENST00000550383.1",0
"chr8",23066644,23076530,9887,"*",8.3115804052085,8.68326742263966,7.80959648172167,0.759674968707598,0.00024319128507055,0.00136875038128904,"Promoter (<=1kb)",8,23068229,23083619,15391,1,"286059","ENST00000501897.1",0
"chr4",37278285,37281769,3485,"*",6.57211125583312,7.00884761123757,5.94274671082257,0.895533506943404,0.000244626726929695,0.00137585159840643,"Intron (ENST00000309447.6/57495, intron 1 of 6)",4,37244743,37449463,204721,1,"57495","ENST00000309447.6",33542
"chr20",4215852,4240176,24325,"*",9.50835150851793,9.87025414124636,9.02412530773807,0.736402325794459,0.00024482217549346,0.00137597360378475,"Promoter (<=1kb)",20,4221681,4222381,701,2,"146","ENST00000621688.1",0
"chr5",58294355,58297576,3222,"*",6.51566621177682,6.95849692459913,5.8734575072752,0.911240794103677,0.000245426965855653,0.00137839442738363,"Distal Intergenic",5,58454706,58455116,411,2,"10769","ENST00000511326.1",157540
"chr2",232986695,232989054,2360,"*",6.21978875870073,6.69751762555856,5.50062692819352,0.97615388358883,0.000246476776564175,0.00138330942141155,"Intron (ENST00000264051.8/25791, intron 1 of 14)",2,232970043,232974796,4754,2,"25791","ENST00000414326.1",-11899
"chr4",3491091,3506995,15905,"*",9.45607554699615,8.97839234546881,9.8143255844098,-0.726504559430582,0.000246865233245953,0.00138374001778304,"5' UTR",4,3485349,3492885,7537,1,"285489","ENST00000513995.1",5742
"chr20",63078651,63111297,32647,"*",10.8469049957404,10.3285326309796,11.2274582012716,-0.773825930601627,0.000246902973245035,0.00138374001778304,"Promoter (<=1kb)",20,63102205,63104386,2182,1,"768096","ENST00000433161.1",0
"chr3",172545895,172554065,8171,"*",7.8178852117913,8.21117819126083,7.27545257020041,0.805989294670757,0.000251699976205219,0.00140962667013376,"Distal Intergenic",3,172505662,172523475,17814,2,"8743","ENST00000420541.6",-22420
"chr7",105928520,105948941,20422,"*",9.31233915066385,9.64217657188496,8.88402231210743,0.669654291610213,0.000251912746061771,0.00140982122689976,"Intron (ENST00000470188.5/222256, intron 3 of 14)",7,105963259,106032815,69557,1,"222256","ENST00000478080.5",-14318
"chr22",29699990,29742941,42952,"*",10.9902902627005,10.4909896854911,11.3605107188054,-0.751863135917805,0.000252370124981413,0.00141138348850834,"Promoter (<=1kb)",22,29720003,29731833,11831,1,"164633","ENST00000216144.4",0
"chr2",240981197,240984680,3484,"*",7.52283555749751,6.96021895531559,7.9265689594969,-0.818467697738572,0.000253116157833636,0.00141455670704627,"Exon (ENST00000443866.2/728763, exon 28 of 32)",2,240954617,240967451,12835,2,"200772","ENST00000418218.5",-13746
"chr4",11640316,11641858,1543,"*",5.16157081863348,5.77347190773936,4.07759875784743,1.26092182066457,0.000253403132643409,0.00141516178237176,"Intron (ENST00000510095.5/107986178, intron 1 of 3)",4,11625714,11813958,188245,1,"107986178","ENST00000510095.5",14602
"chr7",43516583,43517982,1400,"*",5.63448367545732,6.18909682239139,4.72187934534002,1.13308858473624,0.000255197650893666,0.00142417913842632,"Intron (ENST00000453890.5/23072, intron 22 of 27)",7,43508728,43522542,13815,2,"100506895","ENST00000436105.1",4560
"chr4",118940190,118943029,2840,"*",6.26265326353139,6.73220257479525,5.56206947208387,0.961540495229222,0.000256446059837438,0.00143013827313568,"Intron (ENST00000610556.4/171024, intron 1 of 4)",4,118889037,119037447,148411,1,"171024","ENST00000434046.6",51153
"chr10",71961217,71992588,31372,"*",11.0077619912665,11.3701222306876,10.5227127991345,0.736051905740913,0.000256866145827225,0.00143147291260084,"Promoter (<=1kb)",10,71964395,72013558,49164,1,"9469","ENST00000373115.5",0
"chr20",61480296,61491585,11290,"*",8.91480129234445,9.27316873026214,8.43690850583652,0.729010371653657,0.000259329306875686,0.00144418339039983,"Intron (ENST00000614565.5/1002, intron 2 of 15)",20,61432983,61437630,4648,2,"105372703","ENST00000662116.1",-42666
"chr7",47438073,47510454,72382,"*",11.071629264537,11.4384329071386,10.5785505752465,0.745020999083027,0.000260123356340237,0.00144735526953848,"Promoter (<=1kb)",7,47424159,47481285,57127,2,"64759","ENST00000415929.5",0
"chr12",118306740,118308275,1536,"*",4.91631692430001,5.56924976044249,3.69078097065674,1.33127767536408,0.000260264415181562,0.00144735526953848,"Intron (ENST00000419821.6/51347, intron 1 of 20)",12,118238102,118256059,17958,2,"51347","ENST00000535570.5",-50681
"chr2",96087883,96128185,40303,"*",11.3187101943758,10.8178616410807,11.6897771991608,-0.753157788854968,0.000261878119977394,0.00145530725059718,"Promoter (<=1kb)",2,96112876,96116571,3696,2,"151","ENST00000620793.2",0
"chr22",47187490,47210960,23471,"*",9.52188499251899,9.02492793036065,9.89082116215721,-0.747738185761285,0.000263284185584233,0.00146209499694358,"Distal Intergenic",22,47115838,47117217,1380,2,"124905139","ENST00000623531.1",-70273
"chr11",2710872,2756406,45535,"*",10.9557221158082,10.4692218060443,11.3188882294497,-0.736422384838374,0.000265484132745502,0.00147327879972784,"Intron (ENST00000496887.7/3784, intron 11 of 15)",11,2608328,2699994,91667,2,"10984","ENST00000597346.1",-10878
"chr2",111067153,111073100,5948,"*",7.67095933072002,8.03100459959419,7.19006605743008,0.731027770826813,0.000265865102611851,0.00147435976721516,"Intron (ENST00000676595.2/55289, intron 17 of 18)",2,111098345,111114185,15841,2,"400997","ENST00000376593.2",41085
"chr14",104721668,104763859,42192,"*",10.6268824990441,10.1442023196652,10.987924400447,-0.731759933071146,0.00026758244921747,0.00148284493726602,"Promoter (<=1kb)",14,104753147,104757479,4333,1,"10572","ENST00000535554.4",0
"chr2",215793341,215797767,4427,"*",7.204128328153,7.59101528922022,6.67387077136511,0.789264108694932,0.000273577653284473,0.00151452058509142,"Exon (ENST00000423530.5/646324, exon 2 of 9)",2,215804731,215804981,251,2,"107985982","ENST00000454121.1",7214
"chr15",89120701,89124529,3829,"*",6.80619106759368,7.22330142073873,6.21707390290273,0.854306591129651,0.000273680888655868,0.00151452058509142,"Exon (ENST00000458793.1/ENST00000458793.1, exon 1 of 1)",15,89116504,89183373,66870,1,"11057","ENST00000562073.1",4197
"chr9",22682516,22685291,2776,"*",6.22001125051433,6.89586450600716,4.90692379118985,1.36600724167649,0.000273893066570671,0.00151463630878013,"Promoter (<=1kb)",9,22682470,22687627,5158,1,"441389","ENST00000433645.1",46
"chr9",136070953,136113071,42119,"*",11.1622332033427,10.6329153799512,11.5486222748265,-0.784270019069247,0.000276399774894603,0.00152743183348943,"Promoter (<=1kb)",9,136006537,136095289,88753,2,"138151","ENST00000277554.4",0
"chr11",1552096,1601120,49025,"*",10.7403165320637,10.2318459427732,11.1155314252587,-0.760768325122372,0.000276669667505834,0.00152785711086381,"Promoter (<=1kb)",11,1554051,1565936,11886,2,"1850","ENST00000331588.4",0
"chr18",9821336,9835716,14381,"*",8.94674175882853,9.2826061151898,8.50817375603452,0.679769555776883,0.000277742676065426,0.00153271376429415,"Exon (ENST00000491550.3/ENST00000491550.3, exon 1 of 1)",18,9814721,9845679,30959,1,"11031","ENST00000577371.1",6615
"chr11",69586782,69588834,2053,"*",6.83016419250615,7.26016652558429,6.21479813257199,0.881559081647649,0.000278741331961435,0.00153715362660348,"Distal Intergenic",11,69641156,69654474,13319,1,"595","ENST00000227507.3",-52322
"chr1",228266967,228296617,29651,"*",10.1327157187351,9.62650790259292,10.5067027469747,-0.75774814981846,0.000279209718285336,0.0015386651072384,"Promoter (<=1kb)",1,228238241,228276045,37805,2,"124904535","ENST00000664490.1",0
"chr15",82098231,82134671,36441,"*",10.2656535258604,10.609661950145,9.81304748681683,0.697033567434011,0.000279570708217954,0.00153920111995635,"3' UTR",15,82088691,82091980,3290,1,"101929690","ENST00000557838.1",9540
"chr10",77541568,77567887,26320,"*",9.64027675481678,9.9800486698462,9.19500017351831,0.688096596836726,0.000279695720623462,0.00153920111995635,"Intron (ENST00000639601.1/3778, intron 1 of 27)",10,77249431,77498970,249540,2,"3778","ENST00000639282.1",-42598
"chr8",80630235,80635207,4973,"*",7.23464425963874,7.62286098968519,6.70187225414471,0.791440704919542,0.000279972286508075,0.00153964432462686,"3' UTR",8,80638534,80640695,2162,2,"619279","ENST00000517379.1",5488
"chr4",57093464,57172729,79266,"*",11.8250911499955,12.1782546624598,11.3564431146995,0.715447513640395,0.000280165105668305,0.00153964432462686,"Promoter (<=1kb)",4,57109762,57205299,95538,1,"255130","ENST00000499667.6",0
"chr17",31668247,31681364,13118,"*",9.38428292951478,9.7248676640331,8.93760466278829,0.690790871614213,0.00028153593443478,0.00154610476060265,"Distal Intergenic",17,31575411,31575521,111,1,"100126356","ENST00000362317.1",92836
"chr17",64347993,64363910,15918,"*",9.17048784878917,9.50115057780116,8.74077407076102,0.670349290361859,0.000282746741191772,0.00155167806202193,"Exon (ENST00000563924.6/5175, exon 6 of 16)",17,64363286,64370245,6960,2,"5175","ENST00000568702.5",6335
"chr13",50207821,50209481,1661,"*",5.85209531445811,6.36156530177642,5.057419936135,1.04692700290977,0.000284496545896808,0.00156019954775403,"Intron (ENST00000486895.5/10301, intron 1 of 1)",13,50221273,50401366,180094,1,"10301","ENST00000473075.3",-11792
"chr15",76234424,76237357,2934,"*",6.39401415611359,6.84270372744716,5.73929693167004,0.918388665306258,0.000289481458723442,0.00158643852708024,"Intron (ENST00000690610.1/2108, intron 9 of 14)",15,76216130,76228249,12120,2,"2108","ENST00000557975.5",-6175
"chr22",46568291,46602723,34433,"*",10.1904457818842,9.70965837435709,10.5504319446132,-0.728099116873811,0.000291427491888807,0.00159599883006048,"Promoter (<=1kb)",22,46576012,46637936,61925,1,"23151","ENST00000447351.5",0
"chr11",35482295,35495431,13137,"*",8.58484925891128,8.91852762585485,8.15001276665955,0.67441203411664,0.000291759821782239,0.00159671460172326,"5' UTR",11,35451888,35525597,73710,2,"25891","ENST00000534803.1",30166
"chr4",7842596,7846038,3443,"*",7.15923297591368,7.58726779330816,6.54791919431151,0.879187715994645,0.000293769497992437,0.00160660266201803,"Promoter (<=1kb)",4,7842688,7843837,1150,2,"60312","ENST00000612691.1",0
"chr14",105765025,105767892,2868,"*",6.80166950774975,6.18360282179526,7.2329785354137,-0.873087812858883,0.000296308373505186,0.00161936922690654,"3' UTR",14,105857513,105857572,60,2,"100616374","ENST00000579784.1",89680
"chr17",69731749,69735226,3478,"*",6.84197551949301,7.26533056059993,6.24023267900182,0.868420460465169,0.000296919922574595,0.00162159232197808,"Intron (ENST00000591334.5/101928122, intron 3 of 5)",17,69763677,69903000,139324,1,"101928122","ENST00000587241.1",-28451
"chr15",83281852,83290731,8880,"*",8.00066547831685,8.36903946743382,7.50473240890529,0.748637639806444,0.000297532903683371,0.00162382016834501,"Promoter (<=1kb)",15,83255884,83283457,27574,2,"646","ENST00000569704.2",0
"chr8",66266347,66294581,28235,"*",9.77295065102726,10.1223390928364,9.31095145441259,0.707531003896391,0.000298629954357091,0.00162868499211695,"Distal Intergenic",8,66192709,66196390,3682,1,"100505659","ENST00000517689.1",73638
"chr4",55847850,55858035,10186,"*",8.08746919477769,8.46473950979118,7.57519847894787,0.766490674680536,0.000300212348980514,0.00163618829427164,"Promoter (<=1kb)",4,55853648,55905086,51439,1,"55763","ENST00000381295.7",0
"chr7",157648628,157656946,8319,"*",8.79351288138734,8.31732172274801,9.15092637087137,-0.72112357120955,0.000302664217696325,0.00164841673998432,"Exon (ENST00000389413.7/5799, exon 13 of 22)",7,157540337,157621509,81173,2,"5799","ENST00000648371.1",-27119
"chr4",54389940,54404665,14726,"*",9.21405807099736,9.56262290660325,8.75350308413626,0.706314921916418,0.000304847216746613,0.0016591650236539,"Distal Intergenic",4,54332892,54355954,23063,1,"105377656","ENST00000511634.1",57048
"chr1",23777847,23780602,2756,"*",6.31189494300037,6.80128226749859,5.56564568637673,1.00086252130285,0.000305277021144316,0.00166036313903972,"Promoter (<=1kb)",1,23706901,23778283,71383,2,"100506963","ENST00000655402.1",0
"chr8",139670871,139684439,13569,"*",9.17448655936704,8.70648944920092,9.52728169311108,-0.711873551142547,0.000306239288812117,0.00166445362258281,"Intron (ENST00000522317.5/51305, intron 1 of 3)",8,139600845,139654350,53506,2,"51305","ENST00000523477.2",-16521
"chr3",185744657,185748189,3533,"*",6.8142324212999,7.23615280470527,6.21540485038005,0.859742390394714,0.000308312045055476,0.00167457001700571,"Intron (ENST00000382199.7/10644, intron 2 of 15)",3,185728244,185728587,344,1,"646600","ENST00000465364.1",16413
"chr17",16853540,16862600,9061,"*",7.89519267037342,7.43845624992447,8.24157359687165,-0.698581312523973,0.00030872759930778,0.00167567776485148,"Exon (ENST00000422309.1/ENST00000422309.1, exon 1 of 1)",17,16843865,16845881,2017,2,"147228","ENST00000580363.1",-7659
"chr4",156672610,156673951,1342,"*",4.94373996967408,5.59356997198317,3.72955562240881,1.32060349429118,0.000309086414300999,0.00167647624304768,"Distal Intergenic",4,156634494,156642454,7961,2,"107986322","ENST00000511399.1",-30156
"chr4",135276799,135279212,2414,"*",5.69591985006637,6.22812250023681,4.84352505173644,1.08652925368294,0.00030953744324602,0.00167708489105824,"Distal Intergenic",4,135315418,135315522,105,2,"124900883","ENST00000636360.1",36310
"chr1",3448620,3474921,26302,"*",11.3834665318614,10.8634098743098,11.7649221906207,-0.772037578694822,0.00030962218849945,0.00167708489105824,"Promoter (<=1kb)",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",0
"chr7",76163494,76179299,15806,"*",8.79874381331927,8.37057306085489,9.12849485384663,-0.664799859911478,0.000310441064915769,0.001680371013717,"Exon (ENST00000449614.1/ENST00000449614.1, exon 1 of 3)",7,76201896,76287287,85392,1,"222183","ENST00000611745.2",-22597
"chr4",87974818,87976031,1214,"*",4.94972394723129,5.59327355154885,3.75817328580273,1.3055500921101,0.000312785097476867,0.0016919024500815,"Promoter (<=1kb)",4,87975667,87983426,7760,1,"6696","ENST00000237623.11",0
"chr10",1398380,1409579,11200,"*",8.30229528147792,7.83139316664948,8.65673243884978,-0.713912110671493,0.000314102468944362,0.00169786856762485,"Intron (ENST00000381312.6/105, intron 1 of 9)",10,1526637,1556984,30348,1,"642394","ENST00000421697.2",-117058
"chr5",127956387,127962884,6498,"*",7.53266759388395,7.93693868824462,6.96899982076492,0.824926887388533,0.000314327648564659,0.00169792677284007,"Exon (ENST00000499346.7/644873, exon 3 of 4)",5,127935243,127941507,6265,1,"728586","ENST00000513708.1",21144
"chr17",57394000,57410600,16601,"*",9.27677523453603,9.61729567260972,8.83020792369877,0.688923627940969,0.000317089261390556,0.0017116767968315,"Promoter (<=1kb)",17,57406812,57627302,220491,1,"124540","ENST00000579205.5",0
"chr6",152741400,152746762,5363,"*",7.46767765030321,7.84198767917702,6.96087512236516,0.760986972055109,0.000317530000295165,0.00171288833265491,"Distal Intergenic",6,152750797,152759760,8964,1,"7432","ENST00000367244.8",-4035
"chr17",34231289,34263359,32071,"*",10.4811163430986,10.8344834632019,10.0121083357198,0.714606459132659,0.00031815114819752,0.00171507075736975,"Promoter (<=1kb)",17,34255274,34257208,1935,1,"6347","ENST00000580907.6",0
"chr2",232509934,232548039,38106,"*",10.824599468096,10.3353227410101,11.1893039498601,-0.736696437918014,0.000319470607144518,0.00172101206665132,"Promoter (<=1kb)",2,232525993,232536667,10675,1,"1144","ENST00000441621.6",0
"chr8",48560991,48602908,41918,"*",10.2747165383635,10.619113760397,9.8214349006355,0.695825471956874,0.000321514699687319,0.00173028085294049,"Exon (ENST00000430626.1/ENST00000430626.1, exon 1 of 2)",8,48552015,48556441,4427,2,"112268027","ENST00000524011.1",-4550
"chr4",6655298,6698901,43604,"*",10.6793916501176,10.2033522979917,11.0367199501008,-0.721404393524622,0.000321628162082132,0.00173028085294049,"Promoter (<=1kb)",4,6648695,6673896,25202,2,"105374366","ENST00000647523.2",0
"chr14",103219041,103235613,16573,"*",8.78081659521668,8.30015327180806,9.14073347166625,-0.725147250312113,0.000324602468861753,0.00174477846936908,"Distal Intergenic",14,103187221,103189028,1808,2,"100131366","ENST00000514902.2",-30013
"chr12",6430202,6431942,1741,"*",5.78095892351512,6.29288230486455,4.98020726554241,1.04557123003054,0.000324932265636299,0.00174477846936908,"Distal Intergenic",12,6444955,6451713,6759,1,"939","ENST00000266557.4",-13013
