"seqnames","start","end","width","strand","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr7",129948410,129953609,5200,"*",1.13484078747449,3.81004702371724e-11,8.55512649355695e-10,"Promoter (<=1kb)",7,129830732,129952960,122229,2,"7328","ENST00000355621.8",0
"chr9",137422756,137439965,17210,"*",-1.4074795815753,3.82569806525863e-11,8.58030402501682e-10,"Promoter (<=1kb)",9,137423350,137434406,11057,1,"10811","ENST00000341349.6",0
"chr8",80167390,80169340,1951,"*",1.44353486172007,3.89445382849237e-11,8.72438886051483e-10,"Promoter (1-2kb)",8,80037307,80171200,133894,2,"7163","ENST00000519303.6",1860
"chr4",780584,800339,19756,"*",-1.29913311794126,3.99333584825985e-11,8.92119231104018e-10,"Promoter (<=1kb)",4,760202,781849,21648,2,"100129917","ENST00000660016.1",0
"chr4",566103,582216,16114,"*",-1.08831788319571,3.99614779980386e-11,8.92119231104018e-10,"Promoter (<=1kb)",4,576452,584529,8078,1,"105374338","ENST00000692448.1",0
"chr10",43224932,43238731,13800,"*",-1.09336844933398,4.00812465849687e-11,8.93760946052135e-10,"Promoter (<=1kb)",10,43194535,43229739,35205,2,"221002","ENST00000374459.5",0
"chr5",507997,516811,8815,"*",-1.12776614783422,4.06105995805192e-11,9.03736802666785e-10,"Intron (ENST00000264938.8/6550, intron 1 of 16)",5,524109,527448,3340,1,"107986395","ENST00000652670.1",-7298
"chr7",155979187,156006483,27297,"*",-1.241736446956,4.06221114942035e-11,9.03736802666785e-10,"Distal Intergenic",7,155962632,155966343,3712,1,"389602","ENST00000377722.2",16555
"chr20",50540636,50542695,2060,"*",1.44225849232994,4.12144598196149e-11,9.15861093899557e-10,"Intron (ENST00000541713.5/5770, intron 1 of 8)",20,50510383,50585241,74859,1,"5770","ENST00000371621.5",30253
"chrX",37912154,37913650,1497,"*",1.79123219089935,4.13110229057495e-11,9.16078237500037e-10,"Intron (ENST00000465127.1/7102, intron 3 of 8)",23,37906147,37949405,43259,1,"94122","ENST00000567273.1",6007
"chr3",190531482,190535391,3910,"*",1.14138148885777,4.1318999798274e-11,9.16078237500037e-10,"Intron (ENST00000072516.7/3556, intron 1 of 10)",3,190514119,190564668,50550,1,"3556","ENST00000473566.1",17363
"chr7",155665194,155666487,1294,"*",1.27830228396665,4.25017169140804e-11,9.41220725200362e-10,"Exon (ENST00000287912.7/155435, exon 2 of 6)",7,155672880,155745720,72841,1,"155435","ENST00000307403.6",-6393
"chr11",1046965,1056756,9792,"*",-1.24249626727436,4.25790031582623e-11,9.41853395948153e-10,"Promoter (<=1kb)",11,1049880,1055749,5870,1,"101927503","ENST00000534584.2",0
"chr10",91607748,91609631,1884,"*",1.46796528832633,4.26557694733951e-11,9.42473132833312e-10,"Distal Intergenic",10,91628442,91633071,4630,2,"5507","ENST00000238994.6",23440
"chr7",123769289,123770846,1558,"*",1.52069045573049,4.31752004619665e-11,9.52860902432876e-10,"Distal Intergenic",7,123749068,123751166,2099,1,"116435299","ENST00000607957.1",20221
"chr1",16954261,16957361,3101,"*",-1.14503777955434,4.38063688155453e-11,9.65688173672676e-10,"Promoter (1-2kb)",1,16953157,16954781,1625,1,"9696","ENST00000497654.2",1104
"chr10",43248907,43268636,19730,"*",-1.39236347415804,4.45935404840863e-11,9.8044464683901e-10,"Promoter (<=1kb)",10,43194535,43267065,72531,2,"221002","ENST00000395810.6",0
"chr7",4796804,4802334,5531,"*",-1.28575329363951,4.46043388227562e-11,9.8044464683901e-10,"Promoter (1-2kb)",7,4799105,4804068,4964,2,"55698","ENST00000472999.5",1734
"chr8",127079986,127081807,1822,"*",1.82684080144501,4.46279050958635e-11,9.8044464683901e-10,"Promoter (<=1kb)",8,127079874,127092600,12727,1,"101867536","ENST00000635449.1",112
"chr3",159839180,159841311,2132,"*",1.81743820233272,4.53508132685835e-11,9.95195542476191e-10,"Promoter (<=1kb)",3,159839861,159897360,57500,1,"29970","ENST00000445224.6",0
"chr1",52237156,52239014,1859,"*",1.62996553657085,4.54747031972634e-11,9.96782808291036e-10,"Exon (ENST00000287727.8/9372, exon 4 of 19)",1,52295895,52335207,39313,1,"9372","ENST00000469134.1",-56881
"chr6",149168804,149172164,3361,"*",1.1723845931852,4.59989102867889e-11,1.00679906014336e-09,"Distal Intergenic",6,149217926,149221287,3362,1,"23118","ENST00000451095.5",-45762
"chr5",150788858,150790938,2081,"*",1.39743352025178,4.60358128157416e-11,1.00679906014336e-09,"Intron (ENST00000526627.2/85027, intron 1 of 1)",5,150778805,150796734,17930,1,"85027","ENST00000648745.1",10053
"chr17",66491306,66494795,3490,"*",1.20798094461923,4.62491604644557e-11,1.01032205566025e-09,"Intron (ENST00000413366.8/5578, intron 2 of 16)",17,66398069,66416854,18786,2,"101928001","ENST00000584715.5",-74452
"chr17",66507340,66510477,3138,"*",1.14915477073985,4.63544062626425e-11,1.01147825764748e-09,"Intron (ENST00000413366.8/5578, intron 3 of 16)",17,66398069,66416854,18786,2,"101928001","ENST00000584715.5",-90486
"chr3",191327249,191332312,5064,"*",1.05309914896265,4.73221255334721e-11,1.03026875330925e-09,"Promoter (<=1kb)",3,191329085,191392175,63091,1,"152137","ENST00000392456.4",0
"chr2",232473034,232508998,35965,"*",-1.32472363416653,4.80333015911954e-11,1.04457572515476e-09,"Promoter (<=1kb)",2,232479827,232482458,2632,2,"9427","ENST00000411860.5",0
"chr3",129793251,129796104,2854,"*",1.27513235672585,4.80976787242888e-11,1.04480047502997e-09,"Promoter (<=1kb)",3,129647827,129794540,146714,2,"23023","ENST00000698215.1",0
"chr16",3003133,3014757,11625,"*",-1.15593003571353,4.82910023085103e-11,1.04782261237983e-09,"Promoter (<=1kb)",16,3012923,3014505,1583,1,"9080","ENST00000445369.3",0
"chr7",80882529,80884872,2344,"*",1.91585936052047,4.97139049240933e-11,1.07748758284473e-09,"Intron (ENST00000265361.8/10512, intron 2 of 17)",7,80827430,80918429,91000,2,"10512","ENST00000411788.5",33557
"chr17",47278722,47282907,4186,"*",1.11611688041269,4.98050856039537e-11,1.07825500557809e-09,"Exon (ENST00000619646.1/ENST00000619646.1, exon 1 of 1)",17,47291053,47292171,1119,1,"3690","ENST00000573377.1",-8146
"chr2",80053578,80055827,2250,"*",1.47994229977079,4.99750487566576e-11,1.08072440448821e-09,"Intron (ENST00000466387.5/1496, intron 11 of 21)",2,79866495,79866583,89,2,"102465877","ENST00000622224.1",-186995
"chr2",235155683,235157184,1502,"*",-1.39365079366579,5.0058519465902e-11,1.08131995177015e-09,"Distal Intergenic",2,234994840,235040942,46103,1,"23677","ENST00000454947.1",160843
"chr14",103867269,103872399,5131,"*",-1.20398179956326,5.01979397390003e-11,1.0831213939443e-09,"Promoter (<=1kb)",14,103873148,103880378,7231,1,"105370689","ENST00000658303.1",-749
"chr3",126654647,126669452,14806,"*",-1.00596687956562,5.04591762190155e-11,1.08754431866469e-09,"Promoter (<=1kb)",3,126607050,126655124,48075,2,"114112","ENST00000524230.9",0
"chr8",94212093,94214486,2394,"*",1.38509574987427,5.20860889225127e-11,1.12135897231508e-09,"Promoter (2-3kb)",8,94128240,94217303,89064,2,"1015","ENST00000450165.6",2817
"chr16",57287038,57291140,4103,"*",-1.08168672797147,5.22824354175401e-11,1.12433406443527e-09,"Promoter (2-3kb)",16,57256755,57284672,27918,2,"51090","ENST00000569059.5",-2366
"chr1",218376246,218379059,2814,"*",1.23955002247126,5.38113479055145e-11,1.15592754339701e-09,"Intron (ENST00000366930.9/7042, intron 1 of 6)",1,218347038,218434312,87275,1,"7042","ENST00000488793.1",29208
"chr5",14035044,14041701,6658,"*",1.0333640046736,5.38874998061009e-11,1.15627861681615e-09,"Distal Intergenic",5,13690328,14011818,321491,2,"1767","ENST00000681290.1",-23226
"chr3",190585027,190587617,2591,"*",1.26510706890571,5.40791803419306e-11,1.1591050926281e-09,"Intron (ENST00000072516.7/3556, intron 2 of 10)",3,190564183,190657196,93014,1,"3556","ENST00000443369.6",20844
"chr8",142745432,142758887,13456,"*",-1.36313173198069,5.47275834354275e-11,1.17170362187942e-09,"Promoter (<=1kb)",8,142750150,142752532,2383,2,"137797","ENST00000359228.4",0
"chr13",44305454,44308848,3395,"*",1.22645855126654,5.51042897481798e-11,1.17716983269654e-09,"Exon (ENST00000701044.1/ENST00000701044.1, exon 1 of 1)",13,44373665,44397441,23777,1,"387923","ENST00000474333.5",-64817
"chr15",89166710,89169064,2355,"*",1.28927553327077,5.53921145487955e-11,1.18200413970404e-09,"Intron (ENST00000565973.5/11057, intron 9 of 14)",15,89185415,89193453,8039,1,"11057","ENST00000568308.1",-16351
"chr9",81082142,81084369,2228,"*",1.55979955074321,5.56585608230164e-11,1.18638032678211e-09,"Distal Intergenic",9,80869758,80871295,1538,2,"105376105","ENST00000397864.2",-210847
"chr5",143199752,143201320,1569,"*",1.65651303699035,5.62792888610881e-11,1.19829018893328e-09,"Intron (ENST00000645722.2/23092, intron 20 of 22)",5,143207198,143216601,9404,1,"23092","ENST00000421521.5",-5878
"chr19",453009,457979,4971,"*",-1.29865768820799,5.73457108215182e-11,1.21965305534919e-09,"Promoter (2-3kb)",19,430741,460571,29831,2,"25759","ENST00000590222.5",2592
"chr2",63875160,63876555,1396,"*",1.60429953982771,5.7510176618321e-11,1.22066623785144e-09,"Intron (ENST00000466642.5/7360, intron 4 of 5)",2,63856764,63884018,27255,1,"7360","ENST00000495020.1",18396
"chr7",116713518,116717378,3861,"*",1.12430092860402,5.7530118560581e-11,1.22066623785144e-09,"Intron (ENST00000318493.11/4233, intron 2 of 20)",7,116724146,116755414,31269,1,"4233","ENST00000495962.1",-6768
"chr4",4402828,4416623,13796,"*",-1.09124081926447,5.7582765681504e-11,1.22066623785144e-09,"3' UTR",4,4420221,4423688,3468,2,"53407","ENST00000510296.1",7065
"chr17",55772366,55776501,4136,"*",-1.09420000938393,5.79577303623796e-11,1.22726922354423e-09,"Promoter (<=1kb)",17,55773736,55823090,49355,1,"58488","ENST00000572536.1",0
"chr19",405051,420616,15566,"*",-1.25082980106487,5.84084455973815e-11,1.23546004237875e-09,"Promoter (<=1kb)",19,405445,409147,3703,2,"126567","ENST00000332235.8",0
"chr10",93474052,93477135,3084,"*",1.49797537491632,5.88754119348306e-11,1.2439763267061e-09,"Intron (ENST00000359263.9/26509, intron 1 of 53)",10,93306430,93482194,175765,2,"26509","ENST00000358334.9",5059
"chr7",22725838,22731749,5912,"*",1.20810931098073,5.91580128958908e-11,1.24858282021425e-09,"Promoter (<=1kb)",7,22725884,22732002,6119,1,"3569","ENST00000404625.5",0
"chr20",58522821,58525661,2841,"*",1.19871860530919,5.92313360396462e-11,1.24876708795472e-09,"Promoter (<=1kb)",20,58523160,58573824,50665,1,"149773","ENST00000424205.1",0
"chr8",103206101,103212022,5922,"*",1.05363067328257,5.98819653407531e-11,1.26110897160434e-09,"Promoter (<=1kb)",8,103208192,103215003,6812,1,"79870","ENST00000517863.1",0
"chr3",134008238,134010359,2122,"*",1.57905051063323,6.02550744302986e-11,1.26758580409245e-09,"Intron (ENST00000310926.11/6578, intron 1 of 13)",3,133934611,134029914,95304,2,"6578","ENST00000493729.5",19555
"chr12",132162041,132164400,2360,"*",-1.18280838280261,6.0433382548722e-11,1.26995498349396e-09,"Distal Intergenic",12,132150841,132152473,1633,1,"79050","ENST00000538784.2",11200
"chr8",96610709,96612202,1494,"*",1.84984826465116,6.10609036780548e-11,1.2817485893679e-09,"3' UTR",8,96586387,96609465,23079,1,"6383","ENST00000523877.1",24322
"chr1",147291826,147293526,1701,"*",1.47564887298766,6.26660705380101e-11,1.31401642268042e-09,"Intron (ENST00000650785.1/9557, intron 19 of 21)",1,147270995,147276247,5253,1,"9557","ENST00000469625.2",20831
"chr9",132097206,132102190,4985,"*",-1.16843211197362,6.29508186833448e-11,1.31855707216154e-09,"Distal Intergenic",9,131860112,132079867,219756,2,"9442","ENST00000292035.10",-17339
"chr2",48844126,48845985,1860,"*",1.43337506853874,6.35251247587196e-11,1.32914636034667e-09,"Intron (ENST00000634588.1/ENST00000634588.1, intron 1 of 4)",2,48768962,48776481,7520,1,"286749","ENST00000470560.1",75164
"chr17",81110995,81145380,34386,"*",-1.41597812250601,6.40407336771167e-11,1.33828090346407e-09,"Promoter (<=1kb)",17,81133196,81133308,113,2,"100302229","ENST00000408098.1",0
"chr20",25854810,25870116,15307,"*",-1.15770131037517,6.41001456891185e-11,1.33828090346407e-09,"Promoter (<=1kb)",20,25774222,25868132,93911,2,"101926935","ENST00000485279.2",0
"chr1",92908107,92910552,2446,"*",1.33925413309125,6.60527032917742e-11,1.37755869766976e-09,"Intron (ENST00000615519.4/388650, intron 1 of 4)",1,92842160,92877150,34991,2,"388650","ENST00000613047.4",-30957
"chr22",50599939,50613862,13924,"*",-1.24844412799454,6.72463528092714e-11,1.39943351868853e-09,"Promoter (<=1kb)",22,50580357,50601455,21099,2,"1120","ENST00000463053.1",0
"chr11",364039,384904,20866,"*",-1.31133347942308,6.76463513530904e-11,1.40624399001e-09,"Promoter (<=1kb)",11,369499,382117,12619,1,"338707","ENST00000329962.11",0
"chr10",113056393,113059855,3463,"*",1.23923674286487,6.84667383799495e-11,1.42176955220147e-09,"Intron (ENST00000355995.9/6934, intron 5 of 14)",10,113125536,113146096,20561,1,"6934","ENST00000349937.7",-65681
"chr3",122532157,122534664,2508,"*",1.20089105978965,6.92041426480663e-11,1.43554043971574e-09,"3' UTR",3,122527961,122546003,18043,2,"83666","ENST00000489652.1",11339
"chr1",44531425,44533313,1889,"*",1.22541517620794,7.04810603252803e-11,1.45985499423267e-09,"Intron (ENST00000355387.6/55182, intron 2 of 14)",1,44545493,44545552,60,1,"100847089","ENST00000581357.1",-12180
"chrX",139289244,139294074,4831,"*",1.15322606025747,7.05273141578294e-11,1.45985499423267e-09,"Distal Intergenic",23,138708852,139222777,513926,2,"2258","ENST00000448673.1",-66467
"chr11",128505375,128510658,5284,"*",1.1282973095898,7.07788865366826e-11,1.46349541541571e-09,"Promoter (<=1kb)",11,128489470,128505394,15925,2,"2113","ENST00000608978.1",0
"chr14",104632095,104645425,13331,"*",-1.14072898974021,7.33201618519734e-11,1.51280543125315e-09,"Distal Intergenic",14,104661120,104665558,4439,2,"101929634","ENST00000564585.1",20133
"chr19",1486763,1498667,11905,"*",-1.29247739277479,7.34996134822852e-11,1.51489128726335e-09,"Promoter (<=1kb)",19,1481428,1490335,8908,2,"54760","ENST00000591201.5",0
"chr1",228205191,228211546,6356,"*",-1.25158568548173,7.36760673432766e-11,1.51691097970987e-09,"Promoter (<=1kb)",1,228203722,228206558,2837,2,"574407","ENST00000660656.1",0
"chr3",170738584,170743149,4566,"*",1.13503505016418,7.38050948692558e-11,1.51795095649715e-09,"Exon (ENST00000473110.1/ENST00000473110.1, exon 1 of 2)",3,170656562,170662123,5562,1,"101928583","ENST00000497988.1",82022
"chr12",11657537,11659245,1709,"*",1.51202169080714,7.42602667130425e-11,1.52568941165064e-09,"Intron (ENST00000396373.9/2120, intron 1 of 7)",12,11650011,11752875,102865,1,"2120","ENST00000544715.1",7526
"chr4",2404341,2439800,35460,"*",-1.29676031365222,7.48578929828463e-11,1.53300021868763e-09,"Promoter (<=1kb)",4,2418974,2429245,10272,1,"402160","ENST00000382849.2",0
"chr8",81071678,81077590,5913,"*",1.01510327537254,7.48841368138474e-11,1.53300021868763e-09,"Promoter (1-2kb)",8,81029791,81070176,40386,2,"55824","ENST00000519326.1",-1502
"chr4",646694,657448,10755,"*",-1.23466098958107,7.49054770169207e-11,1.53300021868763e-09,"Promoter (<=1kb)",4,652955,653789,835,2,"101928521","ENST00000599030.1",0
"chr8",48406540,48410538,3999,"*",1.09561030382728,7.49332854011177e-11,1.53300021868763e-09,"Distal Intergenic",8,48515852,48518042,2191,2,"105375822","ENST00000521359.2",107504
"chr20",62994073,63012899,18827,"*",-1.26295173959918,7.54546980268038e-11,1.54203559931522e-09,"Promoter (<=1kb)",20,63005927,63006964,1038,2,"128408","ENST00000612929.2",0
"chrX",153631254,153652268,21015,"*",-1.39321879417641,7.6201630987896e-11,1.55473326874456e-09,"Promoter (<=1kb)",23,153642492,153648013,5522,1,"1852","ENST00000477033.1",0
"chr1",3695049,3725398,30350,"*",-1.30490713985963,7.62368560890625e-11,1.55473326874456e-09,"Promoter (<=1kb)",1,3698046,3708534,10489,1,"7161","ENST00000604194.1",0
"chr10",35545394,35547939,2546,"*",1.45617312373973,7.70463737512429e-11,1.56886095904206e-09,"Intron (ENST00000374706.5/219771, intron 9 of 11)",10,35530196,35566285,36090,1,"219771","ENST00000497692.1",15198
"chr8",94017675,94021115,3441,"*",1.20089355159409,7.70919107789766e-11,1.56886095904206e-09,"Distal Intergenic",8,93919879,93922500,2622,1,"54704","ENST00000521144.1",97796
"chr3",188680855,188683554,2700,"*",1.29934261516663,7.76810138885788e-11,1.5791872150451e-09,"Intron (ENST00000448637.5/4026, intron 6 of 6)",3,188688781,188688866,86,1,"407020","ENST00000384918.1",-5227
"chr1",209883278,209886018,2741,"*",1.212751935433,7.92951241915733e-11,1.61030739075177e-09,"Distal Intergenic",1,209900923,209952756,51834,1,"255928","ENST00000652023.1",-14905
"chr8",143716093,143746586,30494,"*",-1.38906275587717,7.97033721275526e-11,1.61689957328644e-09,"Promoter (<=1kb)",8,143733083,143733153,71,2,"100616318","ENST00000583819.1",0
"chr9",135727690,135799993,72304,"*",-1.51113687073471,7.98174947199526e-11,1.61751742706587e-09,"Promoter (<=1kb)",9,135736517,135793618,57102,1,"57582","ENST00000263604.5",0
"chr4",14855345,14857690,2346,"*",1.30094048943946,7.99979674970966e-11,1.61846993017376e-09,"Intron (ENST00000505089.6/201853, intron 2 of 6)",4,14474085,14888167,414083,2,"201853","ENST00000509654.5",30477
"chr1",958810,976690,17881,"*",-1.4901469857313,8.00319274425134e-11,1.61846993017376e-09,"Promoter (<=1kb)",1,944203,959256,15054,2,"26155","ENST00000327044.7",0
"chr22",35838936,35840833,1898,"*",1.57434130822865,8.03321551340275e-11,1.62284384034081e-09,"Promoter (<=1kb)",22,35738736,35840587,101852,2,"23543","ENST00000405409.6",0
"chr3",190566110,190568104,1995,"*",1.65270651419539,8.22979445345567e-11,1.66082062806533e-09,"Promoter (1-2kb)",3,190564183,190657196,93014,1,"3556","ENST00000443369.6",1927
"chr15",64008847,64012231,3385,"*",1.07176636514419,8.29837540084775e-11,1.67291440693003e-09,"Intron (ENST00000261891.7/23604, intron 1 of 10)",15,63939293,64030020,90728,2,"23604","ENST00000559897.1",17789
"chr1",157998662,158004659,5998,"*",1.01353644466135,8.37463834694582e-11,1.68653003293233e-09,"Intron (ENST00000360089.8/55243, intron 1 of 12)",1,157993645,158100262,106618,1,"55243","ENST00000359209.11",5017
"chr1",10933303,10951100,17798,"*",-1.16837512271041,8.40685307739924e-11,1.69125588496732e-09,"Promoter (<=1kb)",1,10946471,10949751,3281,2,"148345","ENST00000476357.1",0
"chr2",156536181,156538397,2217,"*",1.60286432155894,8.50027707388005e-11,1.70827293835055e-09,"Intron (ENST00000310454.10/2820, intron 6 of 16)",2,156571172,156583009,11838,1,"2820","ENST00000464846.5",-32775
"chr1",978117,986822,8706,"*",-1.33897082716577,8.50918219346823e-11,1.70828680525775e-09,"Promoter (<=1kb)",1,975198,982093,6896,2,"84808","ENST00000433179.4",0
"chr17",42328675,42331000,2326,"*",1.29400398944813,8.55329793855633e-11,1.71536212703433e-09,"Promoter (<=1kb)",17,42329658,42331538,1881,2,"6774","ENST00000478276.1",538
"chr8",51858776,51860252,1477,"*",1.4889072741154,8.7145900981391e-11,1.74589813852148e-09,"Promoter (<=1kb)",8,51844809,51860884,16076,2,"115294","ENST00000519975.1",632
"chr19",47017245,47029005,11761,"*",-1.01349977940985,8.78645132268757e-11,1.75665422359378e-09,"Promoter (<=1kb)",19,47019837,47045775,25939,1,"4861","ENST00000602212.6",0
"chr15",44295606,44297507,1902,"*",1.60493325304884,8.8056062627522e-11,1.75866514336558e-09,"Intron (ENST00000299957.11/113201, intron 1 of 9)",15,44289105,44332059,42955,1,"113201","ENST00000558735.1",6501
"chr21",15207896,15210812,2917,"*",1.33417940746239,8.89514988349862e-11,1.77471550771598e-09,"Intron (ENST00000673983.1/ENST00000673983.1, intron 2 of 4)",21,15102313,15138649,36337,2,"107985483","ENST00000674143.1",-69247
"chr12",63843717,63847042,3326,"*",1.33769232607222,8.94886100643744e-11,1.78359102925211e-09,"Promoter (<=1kb)",12,63843761,64147833,304073,1,"57522","ENST00000631006.3",0
"chr16",1093498,1136331,42834,"*",-1.56322248395267,9.02686008148158e-11,1.79728409840663e-09,"Promoter (<=1kb)",16,1088226,1096244,8019,2,"390664","ENST00000328449.6",0
"chr12",132167291,132177511,10221,"*",-1.23137274512418,9.15389267316318e-11,1.82070171862411e-09,"Exon (ENST00000619983.1/ENST00000619983.1, exon 1 of 1)",12,132186740,132189695,2956,2,"100996246","ENST00000685070.2",12184
"chr1",209038129,209040779,2651,"*",1.30163967792877,9.18703885359137e-11,1.82541646615089e-09,"Distal Intergenic",1,208972454,208975307,2854,1,"105372894","ENST00000453569.1",65675
"chr6",26309443,26313307,3865,"*",1.1672508628463,9.19818880789856e-11,1.82575548483679e-09,"Distal Intergenic",6,26324705,26331900,7196,2,"101928743","ENST00000655687.1",18593
"chr11",35597891,35600900,3010,"*",1.31234841215074,9.21051135025117e-11,1.82632631727596e-09,"Distal Intergenic",11,35618460,35620865,2406,1,"24147","ENST00000317811.6",-17560
"chr3",189367596,189370412,2817,"*",1.40053029947486,9.47109839207629e-11,1.87607320915995e-09,"Distal Intergenic",3,189309894,189315595,5702,1,"285386","ENST00000481307.1",57702
"chr16",88789712,88794023,4312,"*",-1.20908277450742,9.4895238164808e-11,1.87779901682726e-09,"Distal Intergenic",16,88715338,88785220,69883,2,"9780","ENST00000301015.14",-4492
"chr1",59127812,59130281,2470,"*",1.57907097289195,9.77661306319231e-11,1.93263047393351e-09,"Intron (ENST00000634569.1/101926925, intron 5 of 5)",1,59132473,59146827,14355,2,"729467","ENST00000587839.2",16546
"chr6",81766094,81768587,2494,"*",1.34540999521726,9.8685446359427e-11,1.94881076043596e-09,"Distal Intergenic",6,81745730,81752774,7045,2,"55603","ENST00000369756.3",-13320
"chr4",53773777,53778544,4768,"*",1.10355538273799,9.9501851084992e-11,1.96292784390424e-09,"Intron (ENST00000507166.5/5156, intron 12 of 23)",4,53573626,53701405,127780,2,"84708","ENST00000513421.5",-72372
"chr6",17490678,17494260,3583,"*",1.2737642153941,1.0004981656643e-10,1.97172589569703e-09,"3' UTR",6,17393732,17539290,145559,1,"10486","ENST00000476263.1",96946
"chr5",125372310,125373583,1274,"*",1.73109426527953,1.00680700753861e-10,1.98213848032015e-09,"Intron (ENST00000647105.1/101927421, intron 3 of 6)",5,125325350,125367734,42385,1,"101927421","ENST00000625219.1",46960
"chr5",14144269,14147468,3200,"*",1.06281158507685,1.01652849732209e-10,1.99799722969053e-09,"Promoter (<=1kb)",5,14143837,14508676,364840,1,"7204","ENST00000512070.6",432
"chr6",161037860,161039347,1488,"*",1.35252556004311,1.01692922671881e-10,1.99799722969053e-09,"Intron (ENST00000366919.6/4216, intron 2 of 25)",6,161034358,161048803,14446,1,"4216","ENST00000446500.1",3502
"chr9",134267102,134296330,29229,"*",-1.34214210531977,1.02595128131406e-10,2.01367676361875e-09,"Promoter (<=1kb)",9,134293931,134295397,1467,2,"105376310","ENST00000417135.1",0
"chr5",143376467,143377827,1361,"*",1.59041595258949,1.02974248648732e-10,2.0190681025618e-09,"Intron (ENST00000343796.6/2908, intron 2 of 8)",5,143300561,143390001,89441,2,"2908","ENST00000504336.1",12174
"chr11",61266730,61312159,45430,"*",-1.17334672528758,1.05652799160613e-10,2.06948892216022e-09,"Promoter (<=1kb)",11,61299464,61303299,3836,2,"1642","ENST00000681580.1",0
"chr4",986566,1002535,15970,"*",-1.43216962595983,1.05915509277783e-10,2.07253496039209e-09,"Promoter (<=1kb)",4,979073,993376,14304,2,"10861","ENST00000398520.6",0
"chr9",136681134,136704035,22902,"*",-1.33478825576533,1.06247880922969e-10,2.07693658431119e-09,"Promoter (<=1kb)",9,136673143,136687398,14256,2,"10555","ENST00000371694.7",0
"chr6",105317636,105321165,3530,"*",1.30152913299643,1.06887491197867e-10,2.08732915891754e-09,"Promoter (2-3kb)",6,105322255,105323768,1514,2,"5550","ENST00000448705.1",2603
"chr17",559482,563175,3694,"*",1.05351047298549,1.07891197890766e-10,2.10409819800093e-09,"Promoter (<=1kb)",17,551602,559898,8297,2,"55275","ENST00000679978.1",0
"chr20",63341454,63384847,43394,"*",-1.37108291918256,1.07963865536488e-10,2.10409819800093e-09,"Promoter (<=1kb)",20,63359988,63371177,11190,1,"100130587","ENST00000370257.1",0
"chr2",113281949,113285072,3124,"*",1.13995425489292,1.08402477334707e-10,2.11051872538962e-09,"Distal Intergenic",2,113215997,113278921,62925,2,"7849","ENST00000681162.1",-3028
"chr17",79464230,79511662,47433,"*",-1.21290304555641,1.08619033781512e-10,2.11260742464584e-09,"Promoter (<=1kb)",17,79089345,79482598,393254,2,"146713","ENST00000583458.5",0
"chr15",99306190,99308223,2034,"*",1.52012824211974,1.09015690304837e-10,2.11786577402809e-09,"Intron (ENST00000558879.5/123355, intron 2 of 2)",15,99320603,99352527,31925,1,"123355","ENST00000558248.5",-12380
"chr4",75542269,75544328,2060,"*",1.44575254346493,1.09108483470334e-10,2.11786577402809e-09,"3' UTR",4,75556048,75563322,7275,1,"152816","ENST00000514064.1",-11720
"chr6",144581764,144585602,3839,"*",1.34258552338115,1.09464296704764e-10,2.12051427674669e-09,"Promoter (<=1kb)",6,144583210,144851003,267794,1,"7402","ENST00000367526.8",0
"chr6",20876375,20878363,1989,"*",1.49657548311262,1.11925675244207e-10,2.16602510460086e-09,"Intron (ENST00000274695.8/54901, intron 9 of 15)",6,20756103,20800694,44592,2,"107986577","ENST00000421167.1",-75681
"chrX",13397719,13399214,1496,"*",1.89086907733467,1.12264873681748e-10,2.17041680288923e-09,"Promoter (2-3kb)",23,13395260,13403006,7747,1,"105373137","ENST00000420403.1",2459
"chr10",33273210,33274804,1595,"*",1.70590939567899,1.12854054417129e-10,2.17745252898838e-09,"Intron (ENST00000374875.5/8829, intron 2 of 15)",10,33249414,33263704,14291,2,"8829","ENST00000455749.1",-9506
"chr9",137452342,137468506,16165,"*",-1.47522572858272,1.1376180348025e-10,2.19277861085113e-09,"Promoter (<=1kb)",9,137447570,137459334,11765,2,"26012","ENST00000371475.9",0
"chr8",137155573,137157094,1522,"*",1.49263007405244,1.14091624853667e-10,2.19694560089237e-09,"Distal Intergenic",8,136797273,136984935,187663,1,"107986980","ENST00000521034.1",358300
"chr18",3591936,3598015,6080,"*",1.04489599497757,1.15029020056715e-10,2.2127920843348e-09,"Promoter (<=1kb)",18,3593732,3597952,4221,1,"649446","ENST00000577995.6",0
"chr1",8075672,8079381,3710,"*",1.11165613164917,1.15830837812313e-10,2.2238511559791e-09,"Intron (ENST00000445300.1/ENST00000445300.1, intron 2 of 2)",1,8011727,8026309,14583,2,"54206","ENST00000377482.10",-49363
"chr9",72977400,72979718,2319,"*",1.39499577114024,1.16598185140592e-10,2.23630229496337e-09,"Intron (ENST00000419959.5/216, intron 1 of 7)",9,72916969,72953056,36088,2,"216","ENST00000376939.5",-24344
"chr16",63921808,63923174,1367,"*",1.92092418234403,1.17272076534774e-10,2.24699807298988e-09,"Distal Intergenic",16,63730237,63755884,25648,1,"101927629","ENST00000563061.2",191571
"chr9",131394852,131398608,3757,"*",1.12034404290729,1.17401926525005e-10,2.24725885693853e-09,"Promoter (<=1kb)",9,131394093,131500197,106105,1,"84726","ENST00000682501.1",759
